address,lat,lng
1022 SEYMOUR AVE,36.1857264,-86.7505747
1310 EASTLAND AVE,36.1832764,-86.74536970000001
617 S 5TH ST,36.1659756,-86.76088399999999
2409 EMMETT AVE,36.1953494,-86.7476678
2930 DICKERSON PIKE,36.2234482,-86.7616312
1407 DICKERSON PIKE,36.1982054,-86.7706925
2510 GALLATIN AVE,36.195992,-86.7422084
10 S 6TH ST,36.1729348,-86.76330019999999
757 DOUGLAS AVE,36.1938307,-86.7533833
685 JOSEPH AVE,36.1828276,-86.7725229
130 MERIDIAN CT,36.1980593,-86.76796689999999
570 JOSEPH AVE,36.1809437,-86.7727637
1701 EASTLAND AVE,36.1831679,-86.7390246
1135 KENWOOD DR,36.225807,-86.72138
923 DOUGLAS AVE,36.1932779,-86.7478249
2201 CHASE AVE,36.190394,-86.722971
4127 EDWARDS AVE,36.2261367,-86.73658859999999
272 DELLWAY VILLA RD,36.2129401,-86.7603633
1013 GRANADA CT,36.1883415,-86.75014259999999
719 NEILL AVE,36.184074,-86.75919619999999
PAULAWOOD DR / OAKWOOD AVE,36.2111782,-86.7536692
1012 N 6TH ST,36.1891576,-86.761533
4312 GALLATIN PIKE,36.2256691,-86.7248583
808 ROSEVIEW DR,36.1868671,-86.70844699999999
RR XING MCGAVOCK PIKE EAST,36.2099833,-86.713114
319 PRINCE AVE,36.2065439,-86.7606297
308 WILBURN ST,36.1854184,-86.7674235
106 LORRAINE AVE,36.21694340000001,-86.7622595
717 PORTER RD,36.1829918,-86.7324775
606 S 11TH ST,36.1690518,-86.7513211
600 E TRINITY LN,36.2047801,-86.752732
434 E TRINITY LN,36.2049133,-86.7578903
116 HART LN,36.2209734,-86.7585875
189 N 6TH ST,36.1755117,-86.7630673
JONES AVE / BULLOCK AVE,36.2156664,-86.7559766
1822 JOY CIR,36.201499,-86.7604726
213 S 10TH ST,36.1750289,-86.7513996
341 S 5TH ST,36.1693757,-86.7631157
810 VIRGINIA AVE,36.2229479,-86.736117
821 SHELBY AVE,36.1709002,-86.7546402
105 DUKE ST,36.207697,-86.76647899999999
2412 N 16TH ST,36.1939528,-86.736785
2303 STRATFORD AVE,36.2070211,-86.7165005
2040 STRAIGHTWAY AVE,36.1915535,-86.7287884
2600 GALLATIN PIKE,36.1972246,-86.74161199999999
100 SUNSET CIR,36.2230847,-86.7628907
1060 E TRINITY LN,36.2036753,-86.74107149999999
2003 STRAIGHTWAY AVE,36.1925982,-86.73214829999999
817 LEMONT DR,36.236676,-86.73332719999999
2951 HILLHURST DR,36.226574,-86.7677071
1601 LONG AVE,36.1696685,-86.7427964
406 ROSEBANK AVE,36.1868026,-86.7215765
1303 STAINBACK AVE,36.19402,-86.76432129999999
2716 SANDY DR,36.2052269,-86.7029032
1213 DICKERSON PIKE,36.1927115,-86.77237099999999
1821 BERRYWOOD RD,36.2056548,-86.71697759999999
1700 RUSSELL ST,36.1739643,-86.73947650000001
619 SYLVAN ST,36.1678132,-86.7589718
1131 DELMAS AVE,36.1989845,-86.7380031
LISCHEY AVE / BERRY ST,36.1808485,-86.76541859999999
1013 GRANADA AVE,36.1888329,-86.7495141
1212 HOLLY ST,36.1756287,-86.7477267
2044 STRAIGHTWAY AVE,36.191514,-86.7286759
S 11TH ST / BOSCOBEL ST,36.1723133,-86.7505938
938 RIVERSIDE DR,36.1856538,-86.726057
149 DELLWAY VILLA RD,36.2127382,-86.76113690000001
645 S 7TH ST,36.16745239999999,-86.75630660000002
S 6TH ST / SUMMER PL,36.1657689,-86.7588119
2021 FATHERLAND ST,36.1774833,-86.7329244
1432 ROBERTS AVE,36.188388,-86.7394736
210 DELLWAY VILLA RD,36.2119697,-86.75923170000002
1401 FATHERLAND ST,36.1739478,-86.74589999999999
516 S 11TH ST,36.1699788,-86.75112469999999
ELLINGTON PKWY S / E TRINITY LN,36.2048401,-86.7536681
530 S 8TH ST,36.168838,-86.75593429999999
148 DELLWAY VILLA RD,36.2127366,-86.7616489
624 MAIN ST,36.17404880000001,-86.76139549999999
1520 BIG OAK DR,36.1793196,-86.7664175
909 MARINA ST,36.18065730000001,-86.7574092
908 WOODLAND ST,36.1748305,-86.75581849999999
205 BEN ALLEN RD,36.2258676,-86.75634869999999
2915 GALLATIN PIKE,36.2034547,-86.7388282
CLEVELAND ST / N 6TH ST,36.185829,-86.7619272
KENMORE PL / MCGAVOCK PIKE,36.20461470000001,-86.7335133
611 N 5TH ST,36.1819687,-86.7636144
609 N 2ND ST,36.1820476,-86.77127159999999
